DESCRIÇÃO;COD;PN;FABRIC.;LOCAL;CADASTRO LOCAL;COD LOCAL;status:
"ALICATE GRAMPO MULTI USO 3"" 3/4";030-204-00132;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
"ALICATE GRAMPO MULTI USO 4"" 4/4";030-204-00133;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
"ALARGADOR EXPANSIVO TIPO L COM GUIA 23X32"" - 25X32""";030-204-00134;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
"ALARGADOR EXPANSIVO TIPO L COM GUIA 24,0X27,5 MM 15/16-15/64""";030-204-00135;;;FERRAMENTARIA;Q3 AZUL COMANDO GERAL;Q3;
"ALARGADOR EXPANSIVO TIPO L COM GUIA 27,0-30,2MM 1""1/16-1""3/16";030-204-00136;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
"ALARGADOR EXPANSIVO TIPO L COM GUIA 19,8-21,6""";030-204-00137;;;FERRAMENTARIA;ESTANTE 1;PRAT 5;
ALARGADOR EXPANSIVO ;030-204-00138;;;FERRAMENTARIA;ESTANTE 1;PRAT 5;
"ALARGADOR EXPANSIVO 7/16"" - 13/32""";030-204-00139;;;FERRAMENTARIA;ESTANTE 1;PRAT 5;
ALARGADOR EXPANSIVO;030-204-00140;;;FERRAMENTARIA;ESTANTE 1;PRAT 5;
ALARGADOR EXPANSIVO;030-204-00141;;;FERRAMENTARIA;ESTANTE 1;PRAT 5;
ALARGADOR EXPANSIVO;030-204-00142;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
"ALARGADOR EXPANSIVO TIPO L COM GUIA 15,1X16.7MM 19/32-2""/32";030-204-00143;;;FERRAMENTARIA;ESTANTE 1;PRAT 5;
CHAVE COMB 3;030-204-00145;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 6;030-204-00146;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
CHAVE COMB 6;030-204-00147;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 12/13;030-204-00148;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 12/13;030-204-00149;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 3/4 POR 5/8;030-204-00150;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
CHAVE COMB 3/4 POR 5/8;030-204-00151;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 3/4 POR 13/16;030-204-00152;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 3/4  POR 5/8;030-204-00153;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 3/4  POR 7/8;030-204-00154;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 1/2 POR 9/16;030-204-00155;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 34 POR 7/8;030-204-00156;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 7/8 POR 15/16;030-204-00157;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE ESPECIAL;030-204-00158;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 1-1/4 POR 1-5/16;030-204-00159;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
CHAVE CORTADA 1-1/16;030-204-00160;;;FERRAMENTARIA;Q4 PRETO;Q4;
ALICATE DE PRESÃO 1-1/16;030-204-00161;;;FERRAMENTARIA;Q4 PRETO;Q4;
"ALICATE DE PRESSÃO 5""";030-204-00162;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
CHAVE INGLESA 300MM;030-204-00163;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE 1-1/4;030-204-00164;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE 1-1/8;030-204-00165;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE 1-1/16;030-204-00166;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE 1-1/16;030-204-00167;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE 1-1/16;030-204-00168;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE 1-1/16;030-204-00169;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE 1´´;030-204-00170;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE 1´´;030-204-00171;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 5/16;030-204-00172;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 15/16;030-204-00173;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 13/16;030-204-00174;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 3/4;030-204-00175;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 3/4;030-204-00176;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 5/8;030-204-00177;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 5/8;030-204-00178;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 5/8;030-204-00179;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 5/8;030-204-00180;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 5/8;030-204-00181;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 9/16;030-204-00182;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 9/16;030-204-00183;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 3/4 POR 25/32;030-204-00184;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 3/4;030-204-00185;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 19/16 POR 25/32;030-204-00186;;;FERRAMENTARIA;Q4 PRETO;Q4 ;
CHAVE COMB 23 POR 21;030-204-00187;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 7/8 POR 13/16;030-204-00188;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 1-15/16/28;030-204-00189;;;FERRAMENTARIA;Q4 PRETO;Q4;
CHAVE COMB 28 POR 25;030-204-00190;;;FERRAMENTARIA;Q4 PRETO;Q4;
"CHAVE COMB 1"" 1/8 POR 1""1/16";030-204-00191;;;FERRAMENTARIA;Q4 PRETO;Q4;
"CHAVE COMB 1"" POR 15/16";030-204-00192;;;FERRAMENTARIA;Q4 PRETO;Q4;
"CHAVE COMB 1"" POR 1""1/8";030-204-00193;;;FERRAMENTARIA;Q4 PRETO;Q4;
"CHAVE COMB 1"" 1/4";030-204-00194;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
ARCO DE SERRA ;030-204-00195;;;FERRAMENTARIA;Q5 PRETO;Q5;
SOQUETE 15/16;030-204-00196;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE;030-204-00197;;;FERRAMENTARIA;FORA DE USO;FORA DE USO;
"SOQUETE 1""1/4";030-204-00198;;;FERRAMENTARIA;Q4 PRETO;Q4;
BRAÇO DE FORÇA 1/2 EX: SOD1.3412;030-204-00199;;;FERRAMENTARIA;Q4 PRETO;Q3;
SOQUETE 7/8;030-204-00200;;;FERRAMENTARIA;Q4 PRETO;Q4;
ADAPTADOR 1/4XSAIDA 3/8;030-204-001122;11913;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/8;030-204-00201;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE  13/16;030-204-00202;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE  5/8;030-204-00203;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE  5/8;030-204-00204;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/4;030-204-00205;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/4;030-204-00206;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00207;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00208;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11/16;030-204-00209;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 11/16;030-204-00210;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00211;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/2;030-204-00212;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/8;030-204-00213;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/16;030-204-00214;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/8;030-204-00215;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/16;030-204-00216;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/8;030-204-00217;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/8 10MM;030-204-00218;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 5/8;030-204-00219;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 3/4;030-204-00220;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/8;030-204-00221;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 9/16;030-204-00222;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 7/16;030-204-00223;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 4/2;030-204-00224;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/4 SEXTAVADO LONGO 8MM;030-204-00225;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/4 SEXTAVADO LONGO 12MM;030-204-00226;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/4 SEXTAVADO LONGO 11MM;030-204-00227;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE 1/4 SEXTAVADO LONGO 12MM;030-204-00228;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE ESTRIADO 13MM;030-204-00229;;;FERRAMENTARIA;Q4 PRETO;Q4;
SOQUETE ESTRIADO  14MM;030-204-00230;;;FERRAMENTARIA;Q4 PRETO;Q4;
