INSTRUMENTO / FERRAMENTA;MODELO;P/N;S/N;IDENTIF.SOD;IDENTIF. CGH;CERTIFICADO;DATA DE CALIBRAÇÃO;EXPIRAÇÃO;SITUAÇÃO;EXECUTANTE;INSTALADA NO EQUIPAMENTO;LOCAL;SUB LOCALIZAÇÃO;FOTOS;MECÂNICO;OBSERVAÇAO;CERTIFICADO_PDF
MANÔMETRO;N/C;NÃO TEM;N/C;030-205-00078;;9320/2024;02/10/2024;02/10/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MANÔMETRO;N/C;NÃO TEM;N/C;030-205-00079;;9318/2024;02/10/2024;02/10/2025;VENCIDO;STARTLAB;;QUARENTENA;QUARENTENA;;;;
MANOMETRO 0-150 PSI;N/C;N/C;N/C;030-205-001121;;N/C;22/09/2024;22/09/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
ADAPTADOR DE BICO;N/C;CGH3.23229;N/C;030-204-00743;;N/C;N/C;N/C;CALIBRADO;N/C;N/C;ARMARIO 1;PRATELEIRA 3;;;;
ADAPTADOR DE BICO;N/C;CGH3.2228;N/C;030-204-00745;;N/C;N/C;N/C;CALIBRADO;N/C;N/C;ARMARIO 1;PRATELEIRA 3;;;;
MANÔMETRO 1 kgf/cm2;N/C;CGH3.0125;N/C;030-205-00086;;8268/2025;09/09/2025;09/09/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 3 - CX VERMELHA;;;;
MANÔMETRO 150 PSI;N/C;N/A;N/C;030-205-00045;;100275/24;19/04/2024;19/04/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MANÔMETRO 11 kgf/cm2;N/C;NÃO TEM;N/C;030-205-00015;;5914/24;26/06/2025;26/06/2026;CALIBRADO;START LAB;REGULADOR DE PRESSÃO, NOZZLE FUEL TEST 030-204-00721;ARMARIO 1;PRATELEIRA 3;;;;
MANÔMETRO 11 kgf/cm2;N/C;NÃO TEM;N/C;030-205-00072;;220610/23;03/08/2023;02/08/2024;VENCIDO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 3;;;;
MANÔMETRO 120 PSI;N/C;SOD1.4021;N/C;030-205-00036;;8279/2025;09/09/2025;09/09/2026;CALIBRADO;STARTLAB;;ARMARIO 1;PRATELEIRA 3 - CX PAPELAO;;;;
MANÔMETRO 15 PSI;N/C;CGH3.0140;N/C;030-205-00064;;7146/25;29/07/2025;29/07/2026;CALIBRADO;STARTLAB;CABINE PRESSURIZAÇÃO 030-204-00717;PISO 2;MEIO DO HANGAR;;;;
MANÔMETRO 15 PSI;N/C;CGH3.0139;N/C;030-205-00068;;7144/25;29/07/2025;29/07/2026;CALIBRADO;STARTLAB;CABINE PRESSURIZAÇÃO 030-204-00717;PISO 2;MEIO DO HANGAR;;;;
MANÔMETRO 15 TON;N/C;NÃO TEM;N/C;030-205-00077;;7156/25;29/07/2025;29/07/2026;CALIBRADO;STARTLAB;PRENSSA HIDRAULICA 030-204-00722;PISO 2;FUNDO HANGAR;;;;
MANÔMETRO 2000 PSI;N/C;SOD1.3194;N/C;030-205-00025;;9316/24;02/10/2024;02/10/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MANÔMETRO 150 PSI;N/C;NÃO TEM;N/C;030-205-00046;;N/C;19/04/2024;19/04/2025;VENCIDO;MEDIÇÃO;REGULADOR 030-204-00723;PISO 2;MEIO DO HANGAR;;;;
MANÔMETRO 150 PSI;N/C;NÃO TEM;N/C;030-205-00080;;220169/23;18/08/2023;17/08/2024;VENCIDO;MEDIÇÃO;REGULADOR 030-204-00728;PISO 2;MEIO DO HANGAR;;;;
MANOMETRO 160 PSI;N/C;N/C;N/C;030-205-00015;;5914/25;26/06/2025;26/06/2026;CALIBRADO;STARLAB;N/C;HANGAR;MAQUINA TESTE BICO;;;;
MANÔMETRO 160 PSI;VERIFICAR;SOD1.0022;VERIFICAR;030-205-00040;;10753/24;19/11/2024;19/11/2025;CALIBRAR;STARLAB;MULTIPLICADORA NITROGENIO 030-204-00710;PISO 0 FERRAMENTARIA;CHÃO;;;;
MANÔMETRO 160 PSI;N/C;MO.001;N/C;030-205-00094;;7151/25;29/07/2025;29/07/2026;CALIBRADO;STARTLAB;N/A;HANGAR;LAVAGEM DO COMPRESSOR;;;;
MANOMETRO 200 kgf/cm2;N/C;N/C;N/C;030-205-00101;;9314/24;02/10/2024;02/10/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MANÔMETRO 200 PSI;N/C;GGH3.2234;N/C;030-205-00014;;8271/2025;09/09/2025;09/09/2026;CALIBRADO;MEDIÇÃO;N/A;ARMARIO 1;PRATELEIRA 4;;;;
MANÔMETRO 2000 PSI;N/C;SOD1.3195;N/C;030-205-00020;;5911/2025;26/06/2025;26/06/2026;CALIBRADO;STARLAB;N/C;ARMARIO 1;PRATELEIRA 3 - CX VERMELHA;;;;
MANÔMETRO 2000 PSI;N/C;SOD1.3193;N/C;030-205-00023;;7155/25;29/07/2025;29/07/2026;CALIBRADO;STARTLAB;N/A;ARMARIO 1;PRATELEIRA 3 - CX VERMELHA;;;;
MANÔMETRO 3000 PSI;N/C;SOD1.0010;N/C;030-205-00034;;8261/2025;09/09/2025;09/09/2026;CALIBRADO;STARTLAB;;ARMARIO 1;PRATELEIRA 3 - CX PAPELAO;;;;
MANÔMETRO 2000 PSI;N/C;N/C;N/C;030-205-00100;;9313/24;14/11/2024;14/11/2025;VENCIDO;CALIBRACOM;N/A;CALIBRACOM;CALIBRACOM;;;;
MANÔMETRO 21 kgf/cm2;N/C;N/C;N/C;030-205-00087;;8266/2025;09/09/2025;09/09/2026;CALIBRADO;STARTLAB;COMPRESSOR EXTERNO;PISO 2;PRATELEIRA 3;;;;
MANÔMETRO 21 kgf/cm2;N/C;N/C;N/C;030-205-00090;;9304/24;02/10/2024;02/10/2025;VENCIDO;STARTLAB;N/A;QUARENTENA;QUARENTENA;;;;
MANÔMETRO 21 kgf/cm2;N/C;N/C;N/C;030-205-00091;;7148/25;29/07/2025;29/07/2026;CALIBRADO;STARTLAB;REGULADOR NO HANGAR;ARMARIO 1;PRATELEIRA 3 - CX PAPELAO;;;;
